path,size_bytes,sha256
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/.DS_Store,10244,40356df1533844e5c700f34b8f2e37acb6a1bdb062d7f9815cf188e9cbab0d57
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/00_CURRENT_MAIN_REBASE/CURRENT_MAIN_REBASE_MATRIX.csv,3646,2d1d88533101614541159a20650446fc6a6f73fa14f008c9f8eb7a6740895110
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/00_CURRENT_MAIN_REBASE/CURRENT_MAIN_REBASE_REPORT.md,4308,c9b179b9ca0a7e1f094e1f6eda5a8a80c00595d018648e04974cde665083d0c9
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/INPUT_AUTHOR_CURRENT_WORKS.txt,1801,f94a093f4dc6cd3fa8ebf6fda6044e2194a5bee930e19e6cd1540cc770983cb3
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/WCD07_P0_DUPLICATE_AND_RISK_CHECK.csv,4349,02ee9496ac818f407b0b2ecaedfe87cf96f82388082a77be960d63a680b612a4
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/WCD07_P0_MAJOR_WORK_RESEARCH.md,19930,3e2e0297e3448901c8e2c314de2921db2337fdd9c103dc4e17aacbf564a8f89b
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/WCD07_P0_RELATIONSHIP_CANDIDATES.csv,3523,93484f9a581b10f972d5175f195c1d7c05b1d64a4f29e654140f8c784f9a3fbe
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/WCD07_P0_SOURCE_CANDIDATES.csv,10192,5a1324e12b42d9eeca8ec3e4c8a36333cd052ae34bfa830f3bcfa44d90f01a3f
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/01_WCD07_P0_MAJOR_WORKS/WCD07_P0_WORK_CANDIDATES.csv,6002,837156a84660830da88900d4020e5e78f6f7140edb80a9a16dcde8e39d5bddab
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/02_WCD07_P1_PRIORITY/INPUT_P1_BASELINE.csv,35029,cd98683e8190ab6f83f10cb264bf819871e99c4c4cfbde4aeea1a499009b4ca1
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/02_WCD07_P1_PRIORITY/WCD07_P1_PRIORITY_CANDIDATES.csv,35923,ff25166868ccef23bab78d54074e92fe419ac016b3cf8c630270f37a6383ef45
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/02_WCD07_P1_PRIORITY/WCD07_P1_PRIORITY_RESEARCH.md,23511,5f5821255ee8b85c9134e0f436bd6024f2e9a6610d6e28f06435912b3717ca60
work/external-ai/V2-WCD-EXTERNAL-RESEARCH-PACK/03_WCD05_RELATIONSHIP_EVIDENCE/INPUT_HOLD_BASELINE.csv,9469,9d204dc6fd6290d1eba16144262f4ac0353e017f809f9919c5af67a88e9191d3
